user_id,experiment_id,variant,assigned_at
u01_002309,exp_paywall_A,treatment,2025-03-01T09:39:55Z
u03_002405,exp_pricing_C,control,2025-05-01T11:44:44Z
u03_003398,exp_pricing_C,control,2025-05-01T11:57:35Z
u03_005059,exp_pricing_C,treatment,2025-05-01T12:28:20Z
u01_002665,exp_paywall_A,treatment,2025-03-01T09:46:46Z
u01_008512,exp_paywall_A,control,2025-03-01T11:25:04Z
u01_005149,exp_paywall_A,treatment,2025-03-01T10:26:24Z
u01_007791,exp_paywall_A,treatment,2025-03-01T11:12:22Z
u02_001312,exp_onboarding_B,treatment,2025-04-05T10:23:06Z
u02_009044,exp_onboarding_B,control,2025-04-05T12:34:19Z
u02_000785,exp_onboarding_B,control,2025-04-05T10:17:49Z
u03_002247,exp_pricing_C,treatment,2025-05-01T11:41:43Z
u01_003269,exp_paywall_A,control,2025-03-01T09:56:31Z
u02_005948,exp_onboarding_B,treatment,2025-04-05T11:43:31Z
u02_004978,exp_onboarding_B,control,2025-04-05T11:23:53Z
u02_004475,exp_onboarding_B,control,2025-04-05T11:15:56Z
u03_008695,exp_pricing_C,control,2025-05-01T13:29:00Z
u02_004055,exp_onboarding_B,control,2025-04-05T11:09:46Z
u03_006546,exp_pricing_C,treatment,2025-05-01T12:49:09Z
u02_004981,exp_onboarding_B,treatment,2025-04-05T11:27:54Z
u02_007637,exp_onboarding_B,treatment,2025-04-05T12:10:33Z
u01_003932,exp_paywall_A,control,2025-03-01T10:08:47Z
u01_008388,exp_paywall_A,control,2025-03-01T11:24:42Z
u01_008029,exp_paywall_A,control,2025-03-01T11:14:52Z
u01_009483,exp_paywall_A,control,2025-03-01T11:41:14Z
u03_002573,exp_pricing_C,control,2025-05-01T11:47:22Z
u02_005108,exp_onboarding_B,control,2025-04-05T11:25:58Z
u01_003674,exp_paywall_A,control,2025-03-01T10:03:32Z
u03_001389,exp_pricing_C,control,2025-05-01T11:24:10Z
u01_005938,exp_paywall_A,treatment,2025-03-01T10:42:33Z
u03_007034,exp_pricing_C,treatment,2025-05-01T13:00:00Z
u03_009272,exp_pricing_C,treatment,2025-05-01T13:37:53Z
u03_001881,exp_pricing_C,control,2025-05-01T11:33:26Z
u01_006509,exp_paywall_A,control,2025-03-01T10:51:50Z
u03_001458,exp_pricing_C,control,2025-05-01T11:26:46Z
u03_000072,exp_pricing_C,treatment,2025-05-01T11:01:45Z
u03_007013,exp_pricing_C,control,2025-05-01T12:58:14Z
u02_000093,exp_onboarding_B,treatment,2025-04-05T10:02:46Z
u03_002568,exp_pricing_C,control,2025-05-01T11:46:56Z
u02_002977,exp_onboarding_B,treatment,2025-04-05T10:51:10Z
u01_003814,exp_paywall_A,treatment,2025-03-01T10:07:20Z
u01_007338,exp_paywall_A,control,2025-03-01T11:06:28Z
u03_004484,exp_pricing_C,control,2025-05-01T12:18:52Z
u02_009593,exp_onboarding_B,control,2025-04-05T12:40:47Z
u01_005122,exp_paywall_A,treatment,2025-03-01T10:28:33Z
u02_004906,exp_onboarding_B,treatment,2025-04-05T11:26:35Z
u01_008224,exp_paywall_A,treatment,2025-03-01T11:18:19Z
u01_002869,exp_paywall_A,treatment,2025-03-01T09:50:45Z
u01_002343,exp_paywall_A,treatment,2025-03-01T09:40:59Z
u01_008833,exp_paywall_A,control,2025-03-01T11:27:55Z
u01_007933,exp_paywall_A,treatment,2025-03-01T11:13:35Z
u02_006558,exp_onboarding_B,control,2025-04-05T11:53:54Z
u03_000605,exp_pricing_C,treatment,2025-05-01T11:11:26Z
u02_002984,exp_onboarding_B,treatment,2025-04-05T10:54:16Z
u01_003015,exp_paywall_A,treatment,2025-03-01T09:54:48Z
u03_007332,exp_pricing_C,control,2025-05-01T13:07:01Z
u02_002125,exp_onboarding_B,control,2025-04-05T10:36:33Z
u01_003753,exp_paywall_A,control,2025-03-01T10:04:36Z
u03_007388,exp_pricing_C,treatment,2025-05-01T13:03:43Z
u02_002336,exp_onboarding_B,treatment,2025-04-05T10:42:19Z
u02_001545,exp_onboarding_B,control,2025-04-05T10:26:51Z
u02_001357,exp_onboarding_B,control,2025-04-05T10:23:41Z
u01_002677,exp_paywall_A,treatment,2025-03-01T09:46:14Z
u03_008739,exp_pricing_C,treatment,2025-05-01T13:28:39Z
u03_009996,exp_pricing_C,treatment,2025-05-01T13:48:41Z
u03_000748,exp_pricing_C,treatment,2025-05-01T11:14:43Z
